527;Обучение (др. языки);329
528;Словари (др. языки);329
529;Книги на других языках мира;329
530;Обучение (исп. язык);520
531;Словари (исп. язык);520
532;Книги на испанском языке;520
533;Книги на немецком языке;522
534;Словари (нем. язык);522
535;Обучение (нем. язык);522
536;Книги на французском языке;521
537;Словари (фр. язык);521
538;Обучение (фр. язык);521
539;Обучение (языки народов СССР);518
540;Книги (языки народов СССР);518
541;Словари (языки народов СССР);518
544;Ученые;1041
546;Религиозные деятели / Святые / Библейские персонажи;1041
547;Военные / Революционеры;1041
548;Писатели  /  Поэты  / Критики;1041
549;Разное (Мемуары);1041
552;Андеграунд (Контркультура) (Книги);279
553;18+ (Кроме ххх);20
554;«Современные» войны / Локальные конфликты;1744
555;Войны и сражения;1744
556;I Мировая война;1744
559;Уникальные люди, Экстрасенсы, Пророки;1041
566;Поиск и предложение (Самиздат);1145
577;Информация о разделе "Компьютерная литература";1228
580;Композиторы;1041
581;Хобби / Увлечения;53
585;Филология / Литературоведение / Библиография;43
586;Психология, Психотерапия, Личностное саморазвитие;62
587;Искусство / Киноискусство / Театр / Балет / Музыка / Дизайн;43
589;Важная информация;2
590;Философия / Культурология;43
593;Педагогика;1321
594;Логопедия;1321
595;История пиратства (Разбойники морей);430
596;Путешествия / Туризм;747
599;Шоу-бизнес;1041
601;Фольклор / мифы / эпос / сказания;1011
602;Литературная критика;585
603;Языкознание;585
604;Домашние животные;748
605;Домоводство;581
606;Шахматы / Шашки;877
609;Приключения / Исторические приключения (циклы);423
610;Фэнтези (циклы);423
611;Фантастика (циклы);423
612;Детектив / Боевик / Триллер (циклы);423
613;Мистика / Ужасы (циклы);423
614;Русская историческая проза (Аудиокниги);300
615;Сборники, антологии (Книги);279
618;Военно-морские силы;1743
619;Административное, Гражданское и Международное право;64
620;«Неизвестное», специальное и оружие будущего;1743
623;Историческая проза (Книги);279
626;Естественные, инженерные и точные науки (Старая книга);47
628;Литература на других языках (Старая книга);34
629;История (Старые книги);1076
630;Литературоведение, Фольклор;585
632;Теология и религия (Старая книга - до ~ 1917 г);380
633;Философия (Старая книга);590
634;География (Старая книга);626
635;Математика, физика, химия (Старая книга);626
637;Техника. Транспорт. Авиация. Флот (Старая книга);626
638;Психология (Старая книга);626
640;Книги на др. языках (Старая книга);628
663;Андеграунд (Контркультура) (с.с.);278
664;Издательские и межиздательские серии (Худ.лит);20
665;В помощь книголюбам;22
666;Фотодело;581
667;Аудиокниги на Английском языке;301
668;Аудиокниги на Украинском языке;301
670;Аудиокниги на Немецком языке;301
671;Аудиокниги на Французском языке;301
672;Аудиокниги на Испанском языке;301
673;Это интересно...;868
674;Поэзия (Аудиокниги);300
681;Правоведение, Теория государства и права;1942
682;Кино / Театр / Телевидение;1041
688;Энциклопедии для школьников;1293
689;Энциклопедии для детей и юношества;1293
706;Энциклопедии и справочники для дошкольников и их родителей;1293
712;Это полезно знать...;1937
714;Русская и Советская эмиграция / Жертвы репрессий;1041
715;Армии и боевые подразделений Мира;1748
717;Доска Почёта;589
723;Проза / Современная проза (циклы);423
726;Исторические приключения (Книги);279
732;Прочие библиотеки;1172
734;Наши любимые анекдоты, приколы, юморинки...;14
735;Искусство. Архитектура (Старая книга);587
736;Психология (Аудиокниги);1364
737;«Книжные» новости ...;867
738;Фундаментальная психология;586
739;Популярная психология, Личностное саморазвитие;586
742;Архитектура / Строительство;47
743;Нормативная литература;47
744;Машиностроение / Материаловедение;47
745;Транспорт / Авиация / Флот;47
746;Электроника / Радио / Автоматизация;47
747;География / Геология / Геодезия / Океанология / Картография;47
748;Фауна / Флора / Биология / Экология /;47
749;Производственно - техническая литература;47
750;Астрономия / Астрология / Космонавтика;47
751;Математика;47
752;Химия;47
753;Экономика / финансы и кредит;43
754;Бизнес-литература;43
759;Флибуста - книжное братство;1172
761;Новости Театра, Кино и ТВ;1161
762;РГ «Создатели электронных книг»;46
765;Планы по сканированию, распознаванию;762
766;«Склад» заготовок для эл. книг;762
767;Вспомогательный софт для создания и чтения аудио книг;974
768;Аудиоспектакли / Радиопостановки и Лит.чтения;24
769;Эзотерика (Аудиокниги);1362
770;Философия и религия (Аудиокниги);1364
771;Адрес-календари и памятные книжки, телефонные справочники;977
777;Архивы "Тысячники" (Либрусек);246
778;Биология (Старая книга);626
780;Traum library (кумулятивный релиз) + обновления.;390
781;Traum Library 2.0 + обновления (Авторская редакция);390
784;Иллюстрации и обложки к книгам;49
785;Комиксы;55
786;Обои, Фото, Открытки, Плакаты;49
787;Диафильмы;55
788;Русские дореволюционные фото, открытки, плакаты;786
789;Советские фото, открытки, плакаты;786
790;Зарубежные фото, открытки, плакаты;786
791;Современные фото, открытки, плакаты;786
792;Диафильмы по литературным произведениям;787
793;Диафильмы научно-популярные;787
794;Сборники комиксов на рус. яз.;785
795;Журналы комиксов на рус. яз.;785
796;Отдельные комиксы на рус. яз.;785
797;Сборники комиксов на др. яз.;785
798;Журналы комиксов на др. яз.;785
799;Отдельные комиксы на др. яз.;785
804;Мультимедийные материалы;50
805;Обучающее видео;50
806;Мультимедийная Энциклопедия - «Великое Наследие»;804
807;Литература, Литературоведение, Языкознание (Мультимедийные материалы);804
808;Прочее (Мультимедийные материалы);804
809;Информация о разделе "Мультимедийные материалы и Обучающее видео";1230
819;Эмигрантская периодика, издания военнопленных, др. зарубежные русскояз. издания;1103
821;Кулинария. Домоводство (Мультимедийные материалы);804
827;Библиография дореволюционной фантастики;762
828;Библиография советской фантастики;762
830;Поиск и находки в сети ("Старая фантастика");762
835;Юриспруденция / Право / Международные отношения (Аудиокниги);1364
839;Офис и бизнес (Мультимедийные материалы);804
841;Personalia;762
847;Библиотеки для Book Reader, iPad, Amazon Kindle и других устройств;1650
848;Исторические источники, Справочные материалы (История);40
849;Политика, Геополитика, Международные отношения, Социология;40
850;Разное (Гуманитарные науки);43
854;BitTorrent-клиенты и вспомогательные программы;39
855;Помощь по BitTorrent;854
856;BitTorrent-клиенты;854
858;Вспомогательные BitTorrent-программы;854
860;Экономика (Старая книга);753
861;Культура и этнография (Старая книга);590
862;Личности и биографии (Старая книга);1076
863;LibRusLib библиотекарь;1172
867;Новости;4
868;Информация;4
869;Форумчане о себе...;14
870;Тесты и Опросы;14
872;Всяко-разное;14
873;Рецензии на книги, описания, ссылки ...;874
874;Мир книг;4
875;Интервью, воспоминания, интересные факты из жизни...;874
877;Мир спорта;53
878;Футбол;877
879;Хоккей;877
880;Разное (Мир спорта);877
881;Русь, Россия. До и после СССР (Академическая История);1073
883;Античность (Др. Греция и Рим);1073
885;Разное (Академическая История);1073
887;Доисторические времена (антропогенез и первобытность);1073
888;Разное (Обучающее видео);805
889;Юриспруденция (Обучающее видео);805
892;Windows, Microsoft Office и др. программы (Полезные советы);971
894;Клипарт;51
895;Adobe Photoshop;51
896;Шаблоны;51
897;Шрифты;51
899;Статьи и уроки по дизайну;965
900;Растровая графика;894
901;Векторная графика;894
902;Текстуры;894
903;Фото (Клипарт);894
905;Прочее (Клипарт);894
906;Уроки по программам от Adobe (Мультимедиа и Видео);895
907;Заливки;895
908;Стили;895
909;Формы;895
910;Градиенты;895
911;Экшены;895
912;Кисти;895
913;Плагины;895
914;Прочее (Шаблоны);896
915;Scrap;896
916;PSD;896
917;Фото (Шаблоны);896
918;Web;896
920;Информация о разделе "Дизайн. Графика. Оформительство";51
922;Поиск и предложение книг;1145
925;Компьютерная периодика;1106
926;Детектив / Боевик / Триллер (серии);664
927;Фантастика (серии);664
928;Фэнтези (серии);664
929;Приключения / Исторические приключения (серии);664
930;Мистика / Ужасы (серии);664
931;Проза / Современная проза (серии);664
932;Женский роман (серии);664
934;Разное (серии);664
944;Информация о разделе "Точные, естественные и инженерные науки";47
952;Поиск и предложение (Обучение и книги на других языках);1229
954;Информация о разделе "Обучение и книги на других языках";1229
963;Зарубежная историческая проза (Аудиокниги);300
964;Мемуары / Биографии (Аудиокниги);1362
965;Литература по дизайну;51
966;Книжный дизайн, Типографика;965
968;Дизайн. Графика. Оформительство (Мультимедийные материалы);804
969;Дизайн. Графика. Оформительство (Обучающее видео);805
970;Библиография;585
971;В помощь пользователю;2
972;Бесплатные сетевые сервисы;971
973;Партийные документы, отчеты;1094
974;Разное (Аудиокниги);24
975;Специальная литература, Обложки, Дополнительные материалы (аудиокниги);974
977;Календари. Ежегодники;26
987;Компьютер (Обучающее видео);805
989;Компьютерные и «околокомпьютерные» новости;867
991;Разные библиотеки и архивы;18
992;Архив публичной OCR библиотеки Вадима Ершова;991
993;Архивы библиотеки «ImWerden»;991
994;Коллекция Андрея Савина;991
995;Архивы библиотеки «Mirknig.com»;991
996;Архивы библиотеки «Library Genesis»;991
997;Архивы спецхрана библиотеки «Homelab»;991
998;Библиотека FIDONET;991
999;Научные и технические библиотеки;18
1000;Прочие библиотеки;991
1001;Архивы библиотеки Infanata.com (Natahaus.ru, Infanata.org);991
1002;Жанровые сборники, Издательские серии и Библиотеки (Компьютерная литература) (RUS, ENG);35
1003;Серии / Циклы / Библиотеки / Собрания сочинений (Альтернативная и популярная История);511
1005;Клиническая медицина (Общий раздел);1782
1007;Альтернативная, народная медицина. Фитотерапия. Здоровье;1783
1008;Разное (Медицина);1785
1010;Мультимедийные материалы (Медицина);804
1011;Старинная литература (Современные переиздания);40
1012;Европейская старинная литература;1011
1013;Русская и славянская старинная литература;1011
1014;Мировая старинная литература;1011
1016;Литературно-художественная периодика;1103
1017;Юмористическая и сатирическая периодика;1707
1018;Историческая периодика;1105
1019;Фантастика и фэнтези (периодика);1707
1021;Ремонт, частное строительство, дизайн интерьеров (периодика);1207
1022;Научно-популярная периодика;1106
1023;Техническая периодика;1106
1024;Музыкальная периодика;1707
1025;Журналы Моды и Рукоделия (шитье, вязание, вышивка...);1207
1026;Периодика для взрослых (Кроме ХХХ);1707
1027;Спортивная периодика;1207
1028;Авто, Мото (периодика);1207
1029;Разное (Периодика);26
1030;Периодика для родителей;1300
1032;Епархиальные ведомости;1103
1033;Альпинизм / Спортивный туризм;747
1034;Лёгкая атлетика;877
1035;Карточные игры;877
1039;Фауна / Флора;53
1041;Биографии / Мемуары;40
1042;Арктика / Антарктида;747
1043;История Географических открытий;747
1048;Информация о разделе;1175
